"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed"
"0600000US2502741585","Millville town, Worcester County, Massachusetts","279","82","6","9","12","11","71","49","49","34","25","36","48","42","14","16","6","8","48","42","0","12"
"0600000US2502745105","New Braintree town, Worcester County, Massachusetts","63","28","0","12","10","14","2","5","5","5","4","7","5","5","4","5","7","12","6","6","20","19"
"0600000US2502746820","Northborough town, Worcester County, Massachusetts","1034","165","31","29","114","59","81","55","118","66","151","72","97","64","60","61","62","41","213","90","107","70"
"0600000US2502746925","Northbridge town, Worcester County, Massachusetts","2245","243","66","50","120","76","315","127","498","183","197","103","186","90","114","95","273","140","352","158","124","74"
"0600000US2502747135","North Brookfield town, Worcester County, Massachusetts","495","116","6","10","82","65","63","53","21","22","78","42","74","52","40","45","48","47","51","32","32","29"
"0600000US2502750670","Oakham town, Worcester County, Massachusetts","34","16","0","12","3","4","3","5","9","9","3","5","3","4","3","4","0","12","3","5","7","8"
"0600000US2502751825","Oxford town, Worcester County, Massachusetts","1397","290","0","19","306","186","151","94","173","117","30","35","228","123","47","76","87","62","272","154","103","60"
"0600000US2502752420","Paxton town, Worcester County, Massachusetts","69","32","0","12","0","12","7","12","0","12","18","21","7","11","0","12","6","11","7","11","24","22"
"0600000US2502753120","Petersham town, Worcester County, Massachusetts","67","30","14","17","0","12","16","14","8","8","6","7","0","12","3","5","3","5","14","16","3","5"
"0600000US2502753225","Phillipston town, Worcester County, Massachusetts","54","26","6","5","8","8","15","15","0","12","0","12","5","7","3","5","4","5","0","12","13","14"
