,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Housing units with a mortgage:,Margin of Error!!Total:!!Housing units with a mortgage:,Estimate!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!Less than 10.0 percent,Estimate!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!10.0 to 14.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!15.0 to 19.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!20.0 to 24.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!25.0 to 29.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!30.0 to 34.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!35.0 to 39.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent,Margin of Error!!Total:!!Housing units with a mortgage:!!40.0 to 49.9 percent,Estimate!!Total:!!Housing units with a mortgage:!!50.0 percent or more,Margin of Error!!Total:!!Housing units with a mortgage:!!50.0 percent or more,Estimate!!Total:!!Housing units with a mortgage:!!Not computed,Margin of Error!!Total:!!Housing units with a mortgage:!!Not computed,Estimate!!Total:!!Housing units without a mortgage:,Margin of Error!!Total:!!Housing units without a mortgage:,Estimate!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!Less than 10.0 percent,Estimate!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!10.0 to 14.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!15.0 to 19.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!20.0 to 24.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!25.0 to 29.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!30.0 to 34.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!35.0 to 39.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent,Margin of Error!!Total:!!Housing units without a mortgage:!!40.0 to 49.9 percent,Estimate!!Total:!!Housing units without a mortgage:!!50.0 percent or more,Margin of Error!!Total:!!Housing units without a mortgage:!!50.0 percent or more,Estimate!!Total:!!Housing units without a mortgage:!!Not computed,Margin of Error!!Total:!!Housing units without a mortgage:!!Not computed,id
112,Bernardston,697,62,464,60,39,21,55,26,89,33,90,39,52,28,21,16,37,26,27,14,54,28,0,12,233,42,46,22,95,33,47,20,0,12,25,20,0,12,0,12,5,7,15,13,0,12,0600000US2501105560
113,Buckland,647,61,335,60,23,23,29,15,74,28,75,29,45,32,27,17,11,12,0,12,51,24,0,12,312,63,70,23,98,43,41,23,44,34,23,30,0,12,0,12,6,8,10,11,20,23,0600000US2501109595
114,Charlemont,344,47,172,35,6,7,23,18,37,15,16,11,10,8,18,9,12,8,24,11,26,17,0,12,172,37,59,20,24,17,26,12,12,9,24,17,0,12,9,7,6,5,12,8,0,12,0600000US2501112505
115,Colrain,623,54,353,52,17,17,42,16,56,20,80,26,53,26,17,13,3,4,13,9,72,26,0,12,270,47,82,29,78,28,69,22,9,7,5,6,13,8,0,12,0,12,8,7,6,6,0600000US2501114885
116,Conway,677,55,420,46,27,21,86,25,75,25,48,18,72,30,49,21,17,9,15,16,31,16,0,12,257,48,122,30,29,14,31,21,28,22,17,15,9,8,4,5,0,12,17,18,0,12,0600000US2501115200
117,Deerfield,1529,176,984,166,86,66,97,61,243,111,129,60,168,79,145,103,27,25,0,17,89,62,0,17,545,164,164,96,129,83,102,65,98,77,52,50,0,17,0,17,0,17,0,17,0,17,0600000US2501116670
118,Erving,552,54,386,51,25,13,98,38,86,27,54,26,20,13,15,9,12,8,28,14,48,17,0,12,166,29,59,24,23,11,28,14,20,16,8,7,6,7,4,5,4,6,11,9,3,4,0600000US2501121780
119,Gill,473,54,275,51,19,13,32,13,43,18,55,25,26,15,21,18,22,12,29,15,28,15,0,12,198,33,89,26,30,14,21,12,30,17,8,9,7,7,3,4,0,12,10,9,0,12,0600000US2501125730
120,"Greenfield Town city, Franklin County, Massachusetts",4543,273,3080,268,191,92,413,127,637,131,427,105,344,106,181,74,229,86,272,113,377,107,9,13,1463,185,438,106,258,97,175,69,247,84,79,48,97,49,55,35,73,41,41,28,0,19,0600000US2501127100
121,Hawley,127,22,63,24,9,10,11,8,8,8,8,5,2,3,5,7,1,2,12,10,6,7,1,3,64,17,21,9,13,8,9,6,1,3,4,5,0,12,1,2,5,4,10,8,0,12,0600000US2501129475
122,Heath,258,37,174,36,4,4,18,11,31,17,30,14,22,15,13,8,8,6,8,7,40,25,0,12,84,25,25,13,18,12,4,4,9,10,8,12,4,4,6,9,0,12,10,10,0,12,0600000US2501129650
123,Leverett,679,58,420,49,26,14,48,19,82,27,76,22,59,27,18,12,22,13,34,19,55,17,0,12,259,42,107,31,52,24,42,22,20,13,9,7,6,6,3,4,3,5,17,11,0,12,0600000US2501135180
124,Leyden,266,37,173,30,15,9,20,11,29,12,30,13,31,20,10,7,9,7,6,6,23,10,0,12,93,27,39,14,36,16,5,5,0,12,7,6,0,12,3,4,3,4,0,12,0,12,0600000US2501135285
125,Monroe,36,15,16,10,3,4,0,12,0,12,0,12,2,3,4,8,0,12,2,3,5,7,0,12,20,12,0,12,5,6,2,3,0,12,1,2,0,12,0,12,5,6,7,8,0,12,0600000US2501142040
126,Montague,2221,182,1509,175,81,65,196,74,207,69,211,76,210,91,109,51,107,57,166,76,222,118,0,17,712,148,223,79,198,88,91,46,102,47,31,28,18,20,7,11,8,12,23,26,11,17,0600000US2501142285
127,New Salem,379,44,243,45,14,10,49,18,42,22,29,14,36,19,10,9,3,4,24,22,32,22,4,6,136,28,42,15,32,21,26,13,19,16,0,12,0,12,3,4,4,6,10,8,0,12,0600000US2501145490
128,Northfield,1025,92,694,97,52,36,108,51,152,50,87,50,169,71,24,27,40,48,33,30,29,21,0,12,331,81,130,58,87,46,33,30,19,22,0,12,30,28,11,17,11,17,10,14,0,12,0600000US2501147835
129,Orange,2156,184,1383,153,54,40,293,97,225,72,208,88,186,84,87,45,123,64,118,57,89,52,0,17,773,124,210,64,127,58,164,74,67,36,57,39,30,27,10,15,41,28,67,55,0,17,0600000US2501151265
130,Rowe,173,24,81,19,10,8,4,4,23,15,18,10,10,9,1,3,2,4,4,4,9,6,0,12,92,23,42,15,10,7,11,8,9,9,7,6,6,5,1,3,3,5,3,4,0,12,0600000US2501158335
131,Shelburne,534,74,300,59,11,12,76,41,55,27,18,13,55,31,36,30,11,11,11,12,27,19,0,12,234,47,100,39,30,24,24,17,4,7,19,15,17,14,18,17,4,6,18,17,0,12,0600000US2501161135
132,Shutesbury,666,47,440,55,20,12,44,21,91,31,70,21,49,20,41,19,17,13,19,15,89,37,0,12,226,32,72,21,62,26,33,16,25,13,10,9,3,4,0,12,3,4,18,9,0,12,0600000US2501161905
133,Sunderland,675,100,358,85,63,55,84,55,97,54,18,27,51,46,33,34,12,20,0,12,0,12,0,12,317,93,119,68,29,33,91,54,31,33,15,22,0,12,0,12,0,12,32,33,0,12,0600000US2501168400
134,Warwick,325,42,174,35,8,10,18,9,22,12,14,8,18,9,17,8,13,11,22,13,42,19,0,12,151,31,52,19,27,10,31,16,4,4,8,7,2,3,0,12,11,11,10,10,6,9,0600000US2501173265
135,Wendell,304,48,178,35,5,5,22,15,26,14,31,16,34,20,14,10,4,4,13,9,29,15,0,12,126,38,40,20,24,15,15,15,4,4,10,8,2,3,0,12,16,16,15,14,0,12,0600000US2501174525
136,Whately,532,86,314,69,19,14,47,25,51,29,37,21,26,17,29,17,12,12,40,29,53,40,0,12,218,49,91,40,61,27,10,12,5,7,20,20,0,12,14,11,4,6,13,11,0,12,0600000US2501179110
137,Agawam,8963,374,5844,351,465,138,1012,218,1248,230,1035,213,662,177,278,128,296,164,306,126,496,145,46,71,3119,327,984,227,758,153,371,147,242,155,243,94,184,99,124,75,59,47,154,91,0,23,0600000US2501300840
138,Blandford,457,62,318,57,13,17,48,23,92,34,26,13,46,21,17,17,31,21,27,22,18,12,0,12,139,42,32,14,23,15,41,26,24,23,3,4,6,6,4,8,0,12,3,4,3,4,0600000US2501306085
139,Brimfield,1274,92,864,116,22,25,149,62,151,56,125,59,87,39,20,28,63,42,152,80,81,48,14,22,410,96,144,67,56,38,10,15,56,56,15,21,42,57,10,15,12,19,58,54,7,12,0600000US2501308470
140,Chester,472,56,318,54,25,18,37,20,96,38,47,23,40,26,28,20,9,8,9,8,27,13,0,12,154,40,64,32,40,21,16,9,0,12,8,13,6,6,4,5,0,12,6,7,10,15,0600000US2501313485
141,Chicopee,13533,507,8489,509,602,195,1260,226,1632,286,1666,292,1034,214,500,157,442,152,511,190,825,181,17,26,5044,397,1659,285,998,232,622,144,491,127,270,128,381,127,128,67,67,43,329,119,99,65,0600000US2501313660
142,East Longmeadow,4924,223,3281,225,127,62,501,124,749,146,679,170,305,100,211,89,180,84,218,140,311,100,0,19,1643,226,572,129,231,79,263,93,101,62,108,58,82,50,43,38,80,57,141,79,22,25,0600000US2501319645
143,Granville,585,56,449,63,10,8,100,34,79,29,50,22,63,27,42,25,25,14,19,12,47,26,14,16,136,36,63,26,20,10,11,7,12,9,12,7,3,4,0,12,6,6,9,8,0,12,0600000US2501326675
144,Hampden,1827,115,1164,112,62,37,228,88,357,89,113,45,68,37,95,48,27,26,71,43,131,58,12,19,663,117,195,58,186,77,93,51,41,31,63,68,0,17,0,17,42,33,43,33,0,17,0600000US2501328075
145,Holland,880,78,630,89,55,29,137,45,147,51,58,27,81,39,41,22,35,20,40,31,36,21,0,12,250,57,70,38,93,44,25,16,18,14,6,8,0,12,19,22,0,12,19,23,0,12,0600000US2501330665
146,Holyoke,6214,337,4224,342,379,123,737,174,836,159,796,198,353,114,316,101,121,57,204,103,468,121,14,22,1990,237,500,143,405,120,370,136,165,90,118,72,46,38,66,58,133,61,159,97,28,26,0600000US2501330840
147,Longmeadow,5054,265,3316,267,230,82,622,145,688,160,583,152,318,107,366,113,121,65,119,61,269,111,0,19,1738,213,625,137,387,129,196,75,130,57,74,42,45,39,60,44,31,27,190,82,0,19,0600000US2501336300
148,Ludlow,5778,323,3575,315,225,109,656,170,940,228,438,133,672,164,245,103,106,43,77,62,216,92,0,23,2203,230,674,168,419,133,306,135,103,66,278,111,122,77,42,39,0,23,199,92,60,72,0600000US2501337175
149,Monson,2862,133,1993,145,161,61,438,103,352,82,274,83,312,101,101,56,82,46,78,56,195,78,0,17,869,149,292,83,249,84,81,39,84,64,27,20,21,25,28,24,43,45,35,28,9,13,0600000US2501342145
150,Montgomery,322,31,224,33,13,7,35,12,51,22,29,11,23,15,29,17,9,5,6,5,29,18,0,12,98,18,30,12,25,14,10,7,6,4,6,5,9,6,0,12,4,4,6,5,2,3,0600000US2501342530
151,Palmer,3502,255,2387,249,111,65,316,115,664,192,446,134,257,103,85,58,76,46,76,61,345,147,11,16,1115,202,278,87,250,110,133,66,31,30,151,89,73,67,65,72,25,29,88,60,21,25,0600000US2501352144
152,Russell,486,59,306,58,27,17,11,9,87,34,37,19,51,27,4,5,20,22,24,17,45,22,0,12,180,47,82,34,22,17,28,20,15,16,14,9,0,12,11,15,8,13,0,12,0,12,0600000US2501358650
153,Southwick,3094,254,1880,238,111,58,242,91,340,109,260,87,261,87,167,108,143,88,84,51,272,109,0,17,1214,194,428,130,221,78,176,101,62,56,92,58,23,28,0,17,103,92,109,79,0,17,0600000US2501365825
154,Springfield,26291,758,18484,705,1190,209,2817,363,3137,345,2768,330,1864,308,1594,273,973,248,1343,295,2755,296,43,48,7807,464,2291,291,1512,194,1190,205,751,149,498,146,371,120,206,83,358,130,502,122,128,64,0600000US2501367000
155,Tolland,216,32,135,34,37,20,30,14,24,14,17,8,9,7,9,7,3,5,2,3,4,4,0,12,81,24,40,20,10,7,9,6,6,5,0,12,1,2,2,3,9,11,4,4,0,12,0600000US2501370045
156,Wales,690,71,537,67,19,20,75,36,107,43,102,38,70,34,39,30,10,8,25,22,86,40,4,6,153,39,42,20,31,20,43,25,9,9,13,16,3,5,4,6,5,7,3,4,0,12,0600000US2501372390
157,Westfield,10243,388,6480,373,335,119,1120,192,1328,206,1014,205,882,205,488,131,254,102,327,123,732,153,0,26,3763,318,1442,210,657,132,653,203,268,100,134,78,198,101,130,91,63,44,152,71,66,48,0600000US2501376030
158,West Springfield,7406,334,4587,290,302,113,632,149,1004,205,696,180,437,147,417,156,153,100,388,170,558,157,0,23,2819,306,789,179,483,154,503,163,331,122,204,67,88,64,28,25,82,65,246,123,65,58,0600000US2501377890
159,Wilbraham,4595,186,3032,236,204,99,555,165,675,171,675,165,291,112,164,87,120,77,190,112,158,87,0,19,1563,202,564,133,341,159,179,83,163,91,74,55,46,42,23,26,68,54,91,63,14,23,0600000US2501379740
160,"Amherst town, Hampshire County, Massachusetts",4293,341,2346,250,229,91,272,94,608,132,199,86,243,98,126,66,97,65,152,65,420,144,0,26,1947,244,717,153,486,138,200,97,131,73,110,62,62,51,52,42,27,31,154,76,8,12,0600000US2501501325
161,Belchertown,4531,271,3215,227,355,124,495,172,642,166,585,167,412,140,290,137,165,86,162,83,109,70,0,19,1316,212,536,157,393,122,157,99,72,55,16,24,0,19,10,17,65,53,35,41,32,35,0600000US2501504825
162,Chesterfield,483,45,288,39,4,6,46,21,31,15,57,24,44,17,36,24,16,10,39,22,15,12,0,12,195,40,48,17,43,18,17,12,32,24,13,17,0,12,4,6,11,9,27,27,0,12,0600000US2501513590
163,Cummington,324,45,197,40,12,10,33,13,46,24,16,9,25,18,16,10,20,17,7,7,22,13,0,12,127,27,26,14,31,14,11,9,13,11,14,9,14,17,4,5,7,8,7,7,0,12,0600000US2501516040
164,Easthampton,4388,258,3034,266,165,94,345,114,663,152,599,164,372,111,217,99,229,112,197,103,234,92,13,21,1354,218,520,147,318,116,122,53,142,84,69,51,54,43,34,32,28,33,67,52,0,19,0600000US2501519370
165,Goshen,363,63,210,50,14,12,29,17,63,32,12,11,13,11,24,20,0,12,17,20,38,23,0,12,153,51,67,35,23,18,18,19,26,25,4,6,8,9,0,12,3,6,4,6,0,12,0600000US2501526290
166,Granby,2267,150,1452,173,163,115,183,91,380,130,222,87,185,86,83,57,32,36,51,58,153,90,0,17,815,163,395,126,97,69,65,54,160,86,64,43,0,17,0,17,18,29,16,27,0,17,0600000US2501526535
167,Hadley,1798,197,982,169,87,60,48,40,179,80,247,128,88,58,9,16,111,71,55,51,158,98,0,17,816,170,420,141,10,17,141,78,0,17,63,89,18,30,56,58,17,29,70,88,21,32,0600000US2501527690
168,Hatfield,1077,111,621,104,78,58,71,35,115,53,159,69,72,49,57,56,12,18,0,12,57,33,0,12,456,114,90,45,158,64,18,20,47,48,31,48,10,15,22,34,10,17,61,57,9,16,0600000US2501529265
169,Huntington,758,66,455,62,17,15,103,44,71,29,50,28,87,41,45,32,4,7,34,21,44,30,0,12,303,63,72,29,85,40,29,19,12,12,11,11,11,12,0,12,29,29,54,41,0,12,0600000US2501531785
170,Middlefield,194,42,98,30,2,4,6,6,25,16,15,14,10,9,2,4,8,13,14,15,16,15,0,12,96,34,20,15,15,13,15,14,0,12,23,21,0,12,8,13,7,12,8,13,0,12,0600000US2501540990
171,Northampton,6267,273,3767,253,237,84,598,138,762,144,769,138,416,101,286,95,144,59,180,64,363,113,12,21,2500,210,846,159,570,107,191,70,316,90,102,54,55,35,87,54,53,34,242,105,38,33,0600000US2501546330
172,Pelham,419,46,190,39,18,12,28,15,43,18,13,8,27,14,25,15,9,6,25,14,2,5,0,12,229,32,105,27,41,15,42,20,9,8,3,4,3,4,6,7,11,15,9,8,0,12,0600000US2501552560
173,Plainfield,248,36,141,32,6,7,6,7,36,19,36,13,7,6,17,14,9,9,7,6,17,10,0,12,107,22,28,11,22,10,10,7,19,10,5,5,6,6,8,6,5,5,4,5,0,12,0600000US2501554030
174,Southampton,2187,138,1435,164,161,94,257,108,374,121,224,97,88,59,101,67,55,51,36,34,139,108,0,17,752,177,309,122,149,62,166,79,35,38,34,39,0,17,0,17,0,17,59,75,0,17,0600000US2501562745
175,South Hadley,4810,235,2988,243,214,91,570,134,496,111,412,107,433,162,295,107,181,82,93,44,283,92,11,16,1822,226,635,134,440,136,214,76,192,97,68,48,47,28,48,35,61,37,108,79,9,14,0600000US2501564145
176,Ware,2914,217,1886,262,54,47,216,91,394,136,333,134,201,77,152,88,240,149,145,70,151,78,0,17,1028,183,294,105,150,79,119,64,117,69,60,48,52,36,83,78,24,28,113,95,16,25,0600000US2501572880
177,Westhampton,656,43,468,44,32,16,55,27,110,30,67,22,53,23,37,22,21,16,50,24,43,19,0,12,188,36,61,20,60,23,18,11,19,11,4,5,0,12,3,5,3,4,20,16,0,12,0600000US2501576380
178,Williamsburg,832,87,505,79,51,31,94,38,69,29,67,30,74,43,48,27,42,32,17,15,43,24,0,12,327,77,117,55,93,48,30,19,26,19,6,9,31,25,12,12,0,12,12,12,0,12,0600000US2501579915
179,Worthington,532,59,360,50,38,22,60,30,50,21,59,26,34,14,30,14,14,9,27,20,48,28,0,12,172,38,59,24,33,15,11,9,18,11,22,18,8,8,0,12,18,18,3,6,0,12,0600000US2501582175
180,Acton,6523,300,4602,298,270,105,734,135,1027,181,847,184,637,150,337,111,184,76,221,99,345,117,0,23,1921,245,771,166,384,115,202,83,172,75,33,33,42,52,54,41,34,29,186,98,43,43,0600000US2501700380
181,Arlington,11056,425,7291,468,579,144,1222,209,1741,237,1325,272,666,165,509,110,332,99,238,92,668,197,11,17,3765,314,1210,202,750,176,354,109,388,109,235,82,185,105,72,44,71,47,472,155,28,34,0600000US2501701605
182,Ashby,1077,63,717,76,53,33,93,37,217,55,108,37,102,42,22,17,0,12,83,53,39,20,0,12,360,60,193,52,48,25,45,22,11,11,17,12,11,13,0,12,11,12,24,18,0,12,0600000US2501701955
183,Ashland,5611,279,4084,259,298,122,591,168,994,192,784,172,414,123,244,124,234,103,120,65,362,110,43,41,1527,252,531,148,289,136,303,145,118,83,22,24,14,23,36,34,76,59,138,76,0,19,0600000US2501702130
184,Ayer,2245,246,1700,243,185,89,155,70,458,131,343,126,165,112,52,47,107,87,65,51,157,112,13,22,545,143,238,92,73,61,69,63,15,25,30,33,0,17,0,17,16,25,89,67,15,24,0600000US2501703005
185,Bedford,3926,246,2759,230,168,77,496,139,624,175,412,156,249,105,234,105,98,68,177,129,286,130,15,24,1167,205,344,133,207,77,167,74,135,96,26,29,77,51,73,53,46,37,92,52,0,19,0600000US2501704615
186,Belmont,6336,277,3976,221,239,70,626,112,824,116,735,131,398,104,209,77,248,72,236,73,426,94,35,25,2360,201,773,123,287,77,227,76,197,73,66,32,93,55,85,46,125,59,494,124,13,14,0600000US2501705070
187,Billerica,11993,353,8884,382,379,117,1314,198,1961,277,1577,243,1118,217,526,140,639,198,600,157,754,130,16,26,3109,310,1224,228,656,174,305,85,241,92,146,87,88,49,13,20,177,78,249,96,10,15,0600000US2501705805
188,Boxborough,1558,123,1019,113,118,56,102,47,299,96,132,62,135,59,44,34,66,36,49,54,74,46,0,17,539,101,267,76,124,57,70,43,0,17,19,22,10,16,0,17,0,17,49,36,0,17,0600000US2501707350
189,Burlington,7363,318,4772,362,408,157,827,200,1021,230,908,228,434,148,399,142,197,100,203,100,348,109,27,32,2591,269,1084,224,371,142,286,135,289,126,127,78,144,83,25,29,104,70,161,66,0,23,0600000US2501709840
190,Cambridge,16303,579,10523,405,1337,194,2170,254,1926,254,1205,160,1036,181,772,163,331,77,518,138,1228,208,0,29,5780,434,2868,320,917,159,537,130,380,122,233,91,171,57,68,39,76,35,458,136,72,44,0600000US2501711000
191,Carlisle,1774,93,1211,120,168,68,202,68,233,76,94,50,119,59,71,60,103,51,80,46,128,67,13,20,563,111,190,70,127,50,73,42,24,27,35,31,9,15,0,17,44,38,61,41,0,17,0600000US2501711525
192,Chelmsford,11435,311,7646,368,438,160,1370,214,1783,231,1567,206,879,194,535,144,324,101,225,85,518,130,7,12,3789,322,1556,222,705,166,414,119,270,89,125,59,102,58,149,80,203,106,265,102,0,26,0600000US2501713135
193,Concord,4978,225,3157,215,229,90,487,131,635,152,475,142,374,124,234,91,157,89,160,85,393,138,13,20,1821,213,640,161,282,84,238,91,90,63,133,75,73,43,67,52,160,78,138,77,0,19,0600000US2501715060
194,Dracut,9040,449,6434,462,223,145,1139,234,1301,254,1134,276,688,196,593,194,417,167,165,74,769,211,5,10,2606,323,947,223,313,139,399,122,164,65,209,139,140,99,30,32,111,81,254,101,39,42,0600000US2501717475
195,Dunstable,1117,70,818,87,88,35,94,41,188,56,116,36,82,31,98,53,21,17,43,25,88,42,0,12,299,58,98,37,63,26,33,30,38,24,11,11,0,12,6,9,32,21,12,12,6,9,0600000US2501717825
196,Everett,6179,510,4630,467,185,70,310,101,688,217,519,151,692,218,552,170,419,145,337,151,917,243,11,17,1549,258,533,157,203,78,172,78,61,36,162,75,74,55,29,31,66,65,214,116,35,29,0600000US2501721990
197,Framingham,15216,533,10617,562,585,137,1339,244,2380,293,1818,224,1182,266,697,201,742,224,720,172,1136,193,18,28,4599,379,1761,231,851,188,550,174,304,116,210,85,281,108,108,75,134,65,329,107,71,50,0600000US2501724960
198,Groton,3491,161,2580,159,183,81,543,149,478,130,379,117,235,101,222,102,69,58,106,60,349,125,16,25,911,164,423,120,112,61,112,66,54,48,0,19,49,44,17,28,56,46,10,16,78,89,0600000US2501727480
199,Holliston,4816,153,3681,199,213,69,704,131,834,162,696,145,454,108,221,86,102,63,218,96,239,84,0,19,1135,170,425,104,256,96,200,78,46,37,87,48,18,20,28,32,25,27,50,40,0,19,0600000US2501730700
200,Hopkinton,5232,317,4055,297,336,91,755,159,1022,162,658,171,409,112,210,90,108,63,206,80,340,149,11,16,1177,185,512,115,249,99,127,66,25,28,89,49,48,43,25,28,30,49,72,48,0,19,0600000US2501731085
201,Hudson,5713,258,3719,233,236,91,747,163,760,163,665,141,432,108,298,102,86,47,212,97,273,104,10,15,1994,195,670,132,398,110,258,87,153,80,91,48,179,98,62,39,64,44,119,59,0,19,0600000US2501731540
202,Lexington,9648,332,6300,300,527,122,1017,163,1323,226,1248,184,514,145,456,109,230,82,296,81,674,135,15,19,3348,281,1324,207,555,121,407,109,231,79,157,81,125,69,87,47,82,42,336,100,44,50,0600000US2501735215
203,Lincoln,1608,157,890,129,56,39,228,84,122,69,193,96,104,63,26,29,0,17,79,76,82,55,0,17,718,170,308,131,93,60,63,43,58,40,54,44,0,17,23,28,72,78,47,42,0,17,0600000US2501735425
204,Littleton,3230,153,2228,160,99,45,421,105,504,117,386,97,309,88,105,51,128,79,66,40,210,101,0,19,1002,163,411,113,183,69,166,81,68,46,86,56,29,34,8,12,9,15,42,34,0,19,0600000US2501735950
205,Lowell,16680,783,12129,673,792,178,1495,234,2486,346,2151,372,1497,278,701,150,638,197,714,162,1594,303,61,54,4551,382,1626,253,849,184,813,190,205,76,135,65,201,90,68,38,185,95,435,174,34,42,0600000US2501737000
206,Malden,9436,536,6634,466,309,135,966,278,985,218,1110,239,873,193,604,160,417,146,366,114,996,246,8,13,2802,306,925,178,507,121,254,106,309,122,230,108,144,77,59,42,53,41,321,118,0,29,0600000US2501737875
207,Marlborough,9151,523,6776,425,439,145,1052,233,1208,242,1166,211,875,205,412,163,364,155,497,172,763,206,0,26,2375,326,650,173,595,173,282,114,164,84,179,98,115,82,63,50,139,75,173,113,15,23,0600000US2501738715
208,Maynard,3360,233,2359,211,95,84,351,117,418,122,490,176,337,123,240,123,68,85,122,72,221,104,17,28,1001,161,353,112,177,79,110,56,72,51,99,87,16,24,62,79,22,27,78,61,12,21,0600000US2501739625
209,Medford,12872,545,8683,514,467,146,1276,219,1892,262,1337,226,986,225,768,209,458,165,505,170,946,225,48,38,4189,427,1355,258,788,182,473,136,340,101,376,127,32,26,140,123,367,144,279,106,39,45,0600000US2501739835
210,Melrose,7456,320,5353,328,534,166,852,187,1146,220,934,228,588,180,327,122,242,116,170,90,560,217,0,23,2103,320,807,183,264,109,347,130,150,86,129,100,77,54,118,82,51,53,81,43,79,70,0600000US2501740115
211,Natick,10023,312,6979,339,632,145,834,173,1647,244,1468,236,665,178,462,124,347,107,397,133,527,140,0,26,3044,304,1074,181,604,154,249,102,236,78,165,84,192,110,104,51,150,73,249,91,21,24,0600000US2501743895
212,Newton,22076,574,14392,542,1422,214,2309,306,2669,336,2366,279,1472,194,927,158,777,190,714,178,1729,228,7,13,7684,437,3122,341,1186,176,784,156,612,131,487,111,223,76,121,60,265,98,799,145,85,58,0600000US2501745560
213,North Reading,4860,263,3543,321,336,170,485,140,594,156,764,161,423,141,303,118,153,102,193,106,275,122,17,27,1317,252,479,157,235,112,306,121,75,52,51,46,16,25,45,67,19,31,91,67,0,19,0600000US2501748955
214,Pepperell,3548,153,2789,177,165,67,502,101,622,124,376,97,387,105,206,72,151,72,102,57,265,95,13,21,759,131,247,78,147,66,131,57,67,41,50,29,17,20,36,32,33,25,31,29,0,19,0600000US2501752805
215,Reading,7733,243,5393,262,310,122,987,241,1011,222,1162,208,622,189,416,119,214,112,237,92,426,132,8,13,2340,238,805,178,481,137,355,124,228,116,57,46,31,24,59,49,165,81,159,73,0,23,0600000US2501756130
216,Sherborn,1464,76,1103,90,35,28,181,73,267,97,267,84,32,27,72,43,27,22,51,32,128,59,43,53,361,92,122,55,28,26,38,29,21,25,20,22,35,32,45,36,12,19,40,31,0,12,0600000US2501761380
217,Shirley,1785,230,1357,179,85,89,186,112,232,103,241,122,196,118,46,42,99,67,92,84,169,87,11,17,428,154,129,67,80,56,67,87,17,28,46,46,32,38,42,41,0,17,15,24,0,17,0600000US2501761590
218,Somerville,11036,550,7860,552,516,145,1228,201,1608,251,1268,243,881,202,629,184,302,103,491,151,909,212,28,27,3176,293,1109,206,471,126,427,156,243,87,101,45,105,54,196,102,102,50,376,114,46,33,0600000US2501762535
219,Stoneham,6318,334,4327,286,247,104,708,178,1242,214,599,157,535,150,272,118,230,129,127,78,353,126,14,24,1991,275,810,181,266,100,200,86,253,131,123,76,87,59,32,36,41,31,158,108,21,34,0600000US2501767665
220,Stow,2262,141,1634,162,117,58,308,111,389,119,385,105,141,81,76,55,17,26,35,40,166,73,0,17,628,143,200,80,96,61,98,61,69,68,80,83,28,31,0,17,0,17,57,51,0,17,0600000US2501768050
221,Sudbury,5849,162,4277,232,352,120,708,146,833,146,818,176,428,122,328,126,176,89,138,64,496,134,0,19,1572,215,700,157,218,75,119,59,148,64,90,64,31,27,46,34,25,29,195,96,0,19,0600000US2501768260
222,Tewksbury,10090,325,7317,335,332,147,929,155,1178,209,1623,264,1007,214,623,139,377,131,421,112,827,200,0,26,2773,286,698,157,653,138,397,134,277,102,164,82,20,18,113,89,131,72,312,135,8,13,0600000US2501769415
